"filename", "language", "Batch", "C#", "XML", "JSON", "Properties", "Log", "comment", "blank", "total"
"c:\Users\32512\source\repos\恶魔轮盘赌弹幕版\恶魔轮盘赌弹幕版\BuckshotRoulette.cs", "C#", 0, 142, 0, 0, 0, 0, 5, 24, 171
"c:\Users\32512\source\repos\恶魔轮盘赌弹幕版\恶魔轮盘赌弹幕版\Config\Config.cs", "C#", 0, 55, 0, 0, 0, 0, 0, 9, 64
"c:\Users\32512\source\repos\恶魔轮盘赌弹幕版\恶魔轮盘赌弹幕版\Config\Datas.cs", "C#", 0, 24, 0, 0, 0, 0, 0, 4, 28
"c:\Users\32512\source\repos\恶魔轮盘赌弹幕版\恶魔轮盘赌弹幕版\Config\config.json", "JSON", 0, 0, 0, 20, 0, 0, 0, 0, 20
"c:\Users\32512\source\repos\恶魔轮盘赌弹幕版\恶魔轮盘赌弹幕版\Managers\ChatCommandManager.cs", "C#", 0, 411, 0, 0, 0, 0, 6, 44, 461
"c:\Users\32512\source\repos\恶魔轮盘赌弹幕版\恶魔轮盘赌弹幕版\Managers\ChatEventManager.cs", "C#", 0, 169, 0, 0, 0, 0, 1, 23, 193
"c:\Users\32512\source\repos\恶魔轮盘赌弹幕版\恶魔轮盘赌弹幕版\Managers\ConfigManager.cs", "C#", 0, 162, 0, 0, 0, 0, 0, 30, 192
"c:\Users\32512\source\repos\恶魔轮盘赌弹幕版\恶魔轮盘赌弹幕版\Managers\GameAutomateManager.cs", "C#", 0, 398, 0, 0, 0, 0, 8, 62, 468
"c:\Users\32512\source\repos\恶魔轮盘赌弹幕版\恶魔轮盘赌弹幕版\Managers\TipManager.cs", "C#", 0, 16, 0, 0, 0, 0, 0, 1, 17
"c:\Users\32512\source\repos\恶魔轮盘赌弹幕版\恶魔轮盘赌弹幕版\Player.cs", "C#", 0, 11, 0, 0, 0, 0, 0, 4, 15
"c:\Users\32512\source\repos\恶魔轮盘赌弹幕版\恶魔轮盘赌弹幕版\Program.cs", "C#", 0, 79, 0, 0, 0, 0, 11, 17, 107
"c:\Users\32512\source\repos\恶魔轮盘赌弹幕版\恶魔轮盘赌弹幕版\Properties\PublishProfiles\FolderProfile.pubxml", "XML", 0, 0, 12, 0, 0, 0, 3, 0, 15
"c:\Users\32512\source\repos\恶魔轮盘赌弹幕版\恶魔轮盘赌弹幕版\Utils\DiaLog.cs", "C#", 0, 52, 0, 0, 0, 0, 0, 4, 56
"c:\Users\32512\source\repos\恶魔轮盘赌弹幕版\恶魔轮盘赌弹幕版\Utils\WinAPIUtils.cs", "C#", 0, 203, 0, 0, 0, 0, 41, 33, 277
"c:\Users\32512\source\repos\恶魔轮盘赌弹幕版\恶魔轮盘赌弹幕版\bin\Debug\net8.0\Config\config.json", "JSON", 0, 0, 0, 20, 0, 0, 0, 0, 20
"c:\Users\32512\source\repos\恶魔轮盘赌弹幕版\恶魔轮盘赌弹幕版\bin\Debug\net8.0\Config\恶魔轮盘赌弹幕版.log", "Log", 0, 0, 0, 0, 0, 16698, 0, 1, 16699
"c:\Users\32512\source\repos\恶魔轮盘赌弹幕版\恶魔轮盘赌弹幕版\bin\Debug\net8.0\System.Reactive.xml", "XML", 0, 0, 26493, 0, 0, 0, 0, 3, 26496
"c:\Users\32512\source\repos\恶魔轮盘赌弹幕版\恶魔轮盘赌弹幕版\bin\Debug\net8.0\恶魔轮盘赌弹幕版.deps.json", "JSON", 0, 0, 0, 517, 0, 0, 0, 0, 517
"c:\Users\32512\source\repos\恶魔轮盘赌弹幕版\恶魔轮盘赌弹幕版\bin\Debug\net8.0\恶魔轮盘赌弹幕版.runtimeconfig.json", "JSON", 0, 0, 0, 14, 0, 0, 0, 0, 14
"c:\Users\32512\source\repos\恶魔轮盘赌弹幕版\恶魔轮盘赌弹幕版\bin\Release\net8.0\System.Reactive.xml", "XML", 0, 0, 26493, 0, 0, 0, 0, 3, 26496
"c:\Users\32512\source\repos\恶魔轮盘赌弹幕版\恶魔轮盘赌弹幕版\bin\Release\net8.0\恶魔轮盘赌弹幕版.deps.json", "JSON", 0, 0, 0, 517, 0, 0, 0, 0, 517
"c:\Users\32512\source\repos\恶魔轮盘赌弹幕版\恶魔轮盘赌弹幕版\bin\Release\net8.0\恶魔轮盘赌弹幕版.runtimeconfig.json", "JSON", 0, 0, 0, 15, 0, 0, 0, 0, 15
"c:\Users\32512\source\repos\恶魔轮盘赌弹幕版\恶魔轮盘赌弹幕版\bin\Release\net8.0\恶魔轮盘赌弹幕版启动器.bat", "Batch", 9, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\32512\source\repos\恶魔轮盘赌弹幕版\恶魔轮盘赌弹幕版\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 0, 3, 0, 0, 0, 0, 1, 1, 5
"c:\Users\32512\source\repos\恶魔轮盘赌弹幕版\恶魔轮盘赌弹幕版\obj\Debug\net8.0\恶魔轮盘赌弹幕版.AssemblyInfo.cs", "C#", 0, 9, 0, 0, 0, 0, 10, 5, 24
